departamento,provincia,distrito,ubigeo
AREQUIPA,CARAVELI,ATICO,040303
AREQUIPA,CARAVELI,BELLA UNION,040305
AREQUIPA,CARAVELI,YAUCA,040313
AREQUIPA,ISLAY,COCACHACRA,040702
AYACUCHO,CANGALLO,CANGALLO,050201
AYACUCHO,HUAMANGA,ACOCRO,050102
AYACUCHO,HUAMANGA,AYACUCHO,050101
AYACUCHO,HUAMANGA,JESUS NAZARENO,050115
AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,050110
AYACUCHO,HUANTA,CANAYRE,050409
AYACUCHO,HUANTA,HUANTA,050401
AYACUCHO,HUANTA,LLOCHEGUA,050408
AYACUCHO,HUANTA,SIVIA,050407
AYACUCHO,LA MAR,ANCHIHUAY,050510
AYACUCHO,LA MAR,ANCO,050502
AYACUCHO,LA MAR,AYNA,050503
AYACUCHO,LA MAR,CHUNGUI,050505
AYACUCHO,LA MAR,RIO MAGDALENA,050513
AYACUCHO,LA MAR,SAMUGARI,050509
AYACUCHO,LA MAR,SAN MIGUEL,050501
AYACUCHO,LA MAR,SANTA ROSA,050507
AYACUCHO,LA MAR,UNION PROGRESO,050512
AYACUCHO,LUCANAS,PUQUIO,050601
AYACUCHO,PARINACOCHAS,CORACORA,050701
AYACUCHO,PAUCAR DEL SARA SARA,SAN JAVIER DE ALPABAMBA,050808
AYACUCHO,SUCRE,BELEN,050902
AYACUCHO,SUCRE,MORCOLLA,050906
CAJAMARCA,CAJABAMBA,CONDEBAMBA,060203
CAJAMARCA,CAJABAMBA,SITACOCHA,060204
CAJAMARCA,CAJAMARCA,ASUNCION,060102
CAJAMARCA,CAJAMARCA,CAJAMARCA,060101
CAJAMARCA,CAJAMARCA,MAGDALENA,060109
CAJAMARCA,CELENDIN,CELENDIN,060301
CAJAMARCA,CELENDIN,UTCO,060311
CAJAMARCA,CHOTA,CHOTA,060401
CAJAMARCA,CHOTA,COCHABAMBA,060407
CAJAMARCA,CHOTA,HUAMBOS,060409
CAJAMARCA,CHOTA,LLAMA,060411
CAJAMARCA,CHOTA,MIRACOSTA,060412
CAJAMARCA,CHOTA,QUEROCOTO,060415
CAJAMARCA,CONTUMAZA,CHILETE,060502
CAJAMARCA,CONTUMAZA,CONTUMAZA,060501
CAJAMARCA,CONTUMAZA,TANTARICA,060507
CAJAMARCA,CONTUMAZA,YONAN,060508
CAJAMARCA,CUTERVO,CALLAYUC,060602
CAJAMARCA,CUTERVO,CHOROS,060603
CAJAMARCA,CUTERVO,CUTERVO,060601
CAJAMARCA,CUTERVO,PIMPINGOS,060606
CAJAMARCA,CUTERVO,QUEROCOTILLO,060607
CAJAMARCA,CUTERVO,SANTO TOMAS,060613
CAJAMARCA,HUALGAYOC,HUALGAYOC,060703
CAJAMARCA,JAEN,BELLAVISTA,060802
CAJAMARCA,JAEN,CHONTALI,060803
CAJAMARCA,JAEN,COLASAY,060804
CAJAMARCA,JAEN,HUABAL,060805
CAJAMARCA,JAEN,JAEN,060801
CAJAMARCA,JAEN,LAS PIRIAS,060806
CAJAMARCA,JAEN,POMAHUACA,060807
CAJAMARCA,JAEN,PUCARA,060808
CAJAMARCA,JAEN,SALLIQUE,060809
CAJAMARCA,JAEN,SAN FELIPE,060810
CAJAMARCA,JAEN,SAN JOSE DEL ALTO,060811
CAJAMARCA,JAEN,SANTA ROSA,060812
CAJAMARCA,SAN IGNACIO,CHIRINOS,060902
CAJAMARCA,SAN IGNACIO,HUARANGO,060903
CAJAMARCA,SAN IGNACIO,LA COIPA,060904
CAJAMARCA,SAN IGNACIO,NAMBALLE,060905
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,060901
CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,060906
CAJAMARCA,SAN IGNACIO,TABACONAS,060907
CAJAMARCA,SAN MIGUEL,BOLIVAR,061102
CAJAMARCA,SAN MIGUEL,LA FLORIDA,061106
CAJAMARCA,SAN MIGUEL,NANCHOC,061108
CAJAMARCA,SAN MIGUEL,SAN GREGORIO,061110
CAJAMARCA,SAN MIGUEL,SAN MIGUEL,061101
CAJAMARCA,SAN PABLO,SAN BERNARDINO,061202
CAJAMARCA,SAN PABLO,SAN LUIS,061203
CAJAMARCA,SANTA CRUZ,CATACHE,061303
CAJAMARCA,SANTA CRUZ,LA ESPERANZA,061305
CAJAMARCA,SANTA CRUZ,NINABAMBA,061306
CALLAO,CALLAO,BELLAVISTA,070102
CALLAO,CALLAO,CALLAO,070101
CALLAO,CALLAO,CARMEN DE LA LEGUA-REYNOSO,070103
CALLAO,CALLAO,LA PERLA,070104
CALLAO,CALLAO,LA PUNTA,070105
CALLAO,CALLAO,MI PERU,070107
CALLAO,CALLAO,VENTANILLA,070106
CUSCO,CALCA,YANATILE,080408
CUSCO,CUSCO,CUSCO,080101
CUSCO,LA CONVENCION,CIELO PUNCO,080916
CUSCO,LA CONVENCION,ECHARATE,080902
CUSCO,LA CONVENCION,HUAYOPATA,080903
CUSCO,LA CONVENCION,KIMBIRI,080907
CUSCO,LA CONVENCION,KUMPIRUSHIATO,080915
CUSCO,LA CONVENCION,MANITEA,080917
CUSCO,LA CONVENCION,MARANURA,080904
CUSCO,LA CONVENCION,MEGANTONI,080914
CUSCO,LA CONVENCION,PICHARI,080910
CUSCO,LA CONVENCION,QUELLOUNO,080906
CUSCO,LA CONVENCION,SANTA ANA,080901
CUSCO,LA CONVENCION,SANTA TERESA,080908
CUSCO,LA CONVENCION,UNION ASHANINKA,080918
CUSCO,LA CONVENCION,VILCABAMBA,080909
CUSCO,LA CONVENCION,VILLA KINTIARINA,080913
CUSCO,LA CONVENCION,VILLA VIRGEN,080912
CUSCO,PAUCARTAMBO,KOS�IPATA,081106
CUSCO,QUISPICANCHI,CAMANTI,081203
CUSCO,URUBAMBA,MACHUPICCHU,081304
HUANUCO,AMBO,AMBO,100201
HUANUCO,AMBO,SAN RAFAEL,100207
HUANUCO,AMBO,TOMAY-KICHWA,100208
HUANUCO,DOS DE MAYO,MARIAS,100311
HUANUCO,HUACAYBAMBA,COCHABAMBA,100403
HUANUCO,HUACAYBAMBA,HUACAYBAMBA,100401
HUANUCO,HUAMALIES,MONZON,100507
HUANUCO,HUAMALIES,PUNCHAO,100508
HUANUCO,HUANUCO,AMARILIS,100102
HUANUCO,HUANUCO,CHINCHAO,100103
HUANUCO,HUANUCO,HUANUCO,100101
HUANUCO,HUANUCO,PILLCO MARCA,100111
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,100109
HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,100608
HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,100602
HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,100603
HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,100604
HUANUCO,LEONCIO PRADO,LUYANDO,100605
HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,100606
HUANUCO,LEONCIO PRADO,PUCAYACU,100607
HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,100609
HUANUCO,LEONCIO PRADO,RUPA-RUPA,100601
HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,100610
HUANUCO,MARA�ON,CHOLON,100702
HUANUCO,MARA�ON,LA MORADA,100704
HUANUCO,MARA�ON,SANTA ROSA DE ALTO YANAJANCA,100705
HUANUCO,PACHITEA,CHAGLLA,100802
HUANUCO,PACHITEA,PANAO,100801
HUANUCO,PACHITEA,UMARI,100804
HUANUCO,PUERTO INCA,CODO DEL POZUZO,100902
HUANUCO,PUERTO INCA,HONORIA,100903
HUANUCO,PUERTO INCA,PUERTO INCA,100901
HUANUCO,PUERTO INCA,TOURNAVISTA,100904
HUANUCO,PUERTO INCA,YUYAPICHIS,100905
ICA,CHINCHA,ALTO LARAN,110202
ICA,CHINCHA,CHINCHA ALTA,110201
ICA,CHINCHA,CHINCHA BAJA,110204
ICA,CHINCHA,EL CARMEN,110205
ICA,CHINCHA,GROCIO PRADO,110206
ICA,CHINCHA,PUEBLO NUEVO,110207
ICA,CHINCHA,SUNAMPE,110210
ICA,CHINCHA,TAMBO DE MORA,110211
ICA,ICA,ICA,110101
ICA,ICA,LA TINGUI�A,110102
ICA,ICA,LOS AQUIJES,110103
ICA,ICA,OCUCAJE,110104
ICA,ICA,PACHACUTEC,110105
ICA,ICA,PARCONA,110106
ICA,ICA,PUEBLO NUEVO,110107
ICA,ICA,SALAS,110108
ICA,ICA,SAN JOSE DE LOS MOLINOS,110109
ICA,ICA,SAN JUAN BAUTISTA,110110
ICA,ICA,SANTIAGO,110111
ICA,ICA,SUBTANJALLA,110112
ICA,ICA,TATE,110113
ICA,ICA,YAUCA DEL ROSARIO,110114
ICA,NAZCA,CHANGUILLO,110302
ICA,NAZCA,EL INGENIO,110303
ICA,NAZCA,MARCONA,110304
ICA,NAZCA,NAZCA,110301
ICA,NAZCA,VISTA ALEGRE,110305
ICA,PALPA,LLIPATA,110402
ICA,PALPA,PALPA,110401
ICA,PALPA,RIO GRANDE,110403
ICA,PALPA,SANTA CRUZ,110404
ICA,PISCO,HUANCANO,110502
ICA,PISCO,HUMAY,110503
ICA,PISCO,INDEPENDENCIA,110504
ICA,PISCO,PARACAS,110505
ICA,PISCO,PISCO,110501
ICA,PISCO,SAN ANDRES,110506
ICA,PISCO,SAN CLEMENTE,110507
ICA,PISCO,TUPAC AMARU INCA,110508
JUNIN,CHANCHAMAYO,CHANCHAMAYO,120301
JUNIN,CHANCHAMAYO,PERENE,120302
JUNIN,CHANCHAMAYO,PICHANAQUI,120303
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,120304
JUNIN,CHANCHAMAYO,SAN RAMON,120305
JUNIN,CHANCHAMAYO,VITOC,120306
JUNIN,HUANCAYO,CHILCA,120107
JUNIN,HUANCAYO,HUANCAYO,120101
JUNIN,HUANCAYO,SAPALLANGA,120133
JUNIN,JUNIN,JUNIN,120501
JUNIN,SATIPO,COVIRIALI,120602
JUNIN,SATIPO,LLAYLLA,120603
JUNIN,SATIPO,MAZAMARI,120604
JUNIN,SATIPO,PAMPA HERMOSA,120605
JUNIN,SATIPO,PANGOA,120606
JUNIN,SATIPO,RIO NEGRO,120607
JUNIN,SATIPO,RIO TAMBO,120608
JUNIN,SATIPO,SATIPO,120601
JUNIN,SATIPO,VIZCATAN DEL ENE,120609
LA LIBERTAD,ASCOPE,ASCOPE,130201
LA LIBERTAD,ASCOPE,CASA GRANDE,130208
LA LIBERTAD,ASCOPE,CHICAMA,130202
LA LIBERTAD,ASCOPE,CHOCOPE,130203
LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,130204
LA LIBERTAD,ASCOPE,PAIJAN,130205
LA LIBERTAD,ASCOPE,RAZURI,130206
LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,130207
LA LIBERTAD,BOLIVAR,BAMBAMARCA,130302
LA LIBERTAD,BOLIVAR,LONGOTEA,130304
LA LIBERTAD,BOLIVAR,UCHUMARCA,130305
LA LIBERTAD,CHEPEN,CHEPEN,130401
LA LIBERTAD,CHEPEN,PACANGA,130402
LA LIBERTAD,CHEPEN,PUEBLO NUEVO,130403
LA LIBERTAD,GRAN CHIMU,CASCAS,131101
LA LIBERTAD,GRAN CHIMU,LUCMA,131102
LA LIBERTAD,GRAN CHIMU,MARMOT,131103
LA LIBERTAD,OTUZCO,OTUZCO,130601
LA LIBERTAD,PACASMAYO,GUADALUPE,130702
LA LIBERTAD,PACASMAYO,JEQUETEPEQUE,130703
LA LIBERTAD,PACASMAYO,PACASMAYO,130704
LA LIBERTAD,PACASMAYO,SAN JOSE,130705
LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,130701
LA LIBERTAD,PATAZ,PATAZ,130809
LA LIBERTAD,SANCHEZ CARRION,COCHORCO,130903
LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,130901
LA LIBERTAD,SANCHEZ CARRION,SANAGORAN,130906
LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,130908
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEPATA,131005
LA LIBERTAD,TRUJILLO,ALTO TRUJILLO,130112
LA LIBERTAD,TRUJILLO,EL PORVENIR,130102
LA LIBERTAD,TRUJILLO,FLORENCIA DE MORA,130103
LA LIBERTAD,TRUJILLO,HUANCHACO,130104
LA LIBERTAD,TRUJILLO,LA ESPERANZA,130105
LA LIBERTAD,TRUJILLO,LAREDO,130106
LA LIBERTAD,TRUJILLO,MOCHE,130107
LA LIBERTAD,TRUJILLO,POROTO,130108
LA LIBERTAD,TRUJILLO,SALAVERRY,130109
LA LIBERTAD,TRUJILLO,SIMBAL,130110
LA LIBERTAD,TRUJILLO,TRUJILLO,130101
LA LIBERTAD,TRUJILLO,VICTOR LARCO HERRERA,130111
LA LIBERTAD,VIRU,CHAO,131202
LA LIBERTAD,VIRU,GUADALUPITO,131203
LA LIBERTAD,VIRU,VIRU,131201
LAMBAYEQUE,CHICLAYO,CAYALTI,140116
LAMBAYEQUE,CHICLAYO,CHICLAYO,140101
LAMBAYEQUE,CHICLAYO,CHONGOYAPE,140102
LAMBAYEQUE,CHICLAYO,ETEN,140103
LAMBAYEQUE,CHICLAYO,ETEN PUERTO,140104
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,140105
LAMBAYEQUE,CHICLAYO,LA VICTORIA,140106
LAMBAYEQUE,CHICLAYO,LAGUNAS,140107
LAMBAYEQUE,CHICLAYO,MONSEFU,140108
LAMBAYEQUE,CHICLAYO,NUEVA ARICA,140109
LAMBAYEQUE,CHICLAYO,OYOTUN,140110
LAMBAYEQUE,CHICLAYO,PATAPO,140117
LAMBAYEQUE,CHICLAYO,PICSI,140111
LAMBAYEQUE,CHICLAYO,PIMENTEL,140112
LAMBAYEQUE,CHICLAYO,POMALCA,140118
LAMBAYEQUE,CHICLAYO,PUCALA,140119
LAMBAYEQUE,CHICLAYO,REQUE,140113
LAMBAYEQUE,CHICLAYO,SANTA ROSA,140114
LAMBAYEQUE,CHICLAYO,SA�A,140115
LAMBAYEQUE,CHICLAYO,TUMAN,140120
LAMBAYEQUE,FERRE�AFE,CA�ARIS,140202
LAMBAYEQUE,FERRE�AFE,FERRE�AFE,140201
LAMBAYEQUE,FERRE�AFE,MANUEL ANTONIO MESONES MURO,140204
LAMBAYEQUE,FERRE�AFE,PITIPO,140205
LAMBAYEQUE,FERRE�AFE,PUEBLO NUEVO,140206
LAMBAYEQUE,LAMBAYEQUE,CHOCHOPE,140302
LAMBAYEQUE,LAMBAYEQUE,ILLIMO,140303
LAMBAYEQUE,LAMBAYEQUE,JAYANCA,140304
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,140301
LAMBAYEQUE,LAMBAYEQUE,MOCHUMI,140305
LAMBAYEQUE,LAMBAYEQUE,MORROPE,140306
LAMBAYEQUE,LAMBAYEQUE,MOTUPE,140307
LAMBAYEQUE,LAMBAYEQUE,OLMOS,140308
LAMBAYEQUE,LAMBAYEQUE,PACORA,140309
LAMBAYEQUE,LAMBAYEQUE,SALAS,140310
LAMBAYEQUE,LAMBAYEQUE,SAN JOSE,140311
LAMBAYEQUE,LAMBAYEQUE,TUCUME,140312
LIMA,BARRANCA,BARRANCA,150201
LIMA,BARRANCA,PARAMONGA,150202
LIMA,BARRANCA,PATIVILCA,150203
LIMA,BARRANCA,SUPE,150204
LIMA,BARRANCA,SUPE PUERTO,150205
LIMA,CANTA,CANTA,150401
LIMA,CANTA,SANTA ROSA DE QUIVES,150407
LIMA,CA�ETE,ASIA,150502
LIMA,CA�ETE,CALANGO,150503
LIMA,CA�ETE,CERRO AZUL,150504
LIMA,CA�ETE,CHILCA,150505
LIMA,CA�ETE,IMPERIAL,150507
LIMA,CA�ETE,LUNAHUANA,150508
LIMA,CA�ETE,MALA,150509
LIMA,CA�ETE,NUEVO IMPERIAL,150510
LIMA,CA�ETE,PACARAN,150511
LIMA,CA�ETE,QUILMANA,150512
LIMA,CA�ETE,SAN ANTONIO,150513
LIMA,CA�ETE,SAN LUIS,150514
LIMA,CA�ETE,SAN VICENTE DE CA�ETE,150501
LIMA,CA�ETE,SANTA CRUZ DE FLORES,150515
LIMA,CA�ETE,ZU�IGA,150516
LIMA,HUARAL,AUCALLAMA,150604
LIMA,HUARAL,CHANCAY,150605
LIMA,HUARAL,HUARAL,150601
LIMA,HUAROCHIRI,HUAROCHIRI,150709
LIMA,HUAROCHIRI,RICARDO PALMA,150714
LIMA,HUAROCHIRI,SAN ANTONIO,150716
LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA,150727
LIMA,HUAROCHIRI,SANTA EULALIA,150728
LIMA,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS,150731
LIMA,HUAURA,CALETA DE CARQUIN,150803
LIMA,HUAURA,HUACHO,150801
LIMA,HUAURA,HUALMAY,150805
LIMA,HUAURA,HUAURA,150806
LIMA,HUAURA,SANTA MARIA,150810
LIMA,HUAURA,SAYAN,150811
LIMA,HUAURA,VEGUETA,150812
LIMA,LIMA,ANCON,150102
LIMA,LIMA,ATE,150103
LIMA,LIMA,BARRANCO,150104
LIMA,LIMA,BRE�A,150105
LIMA,LIMA,CARABAYLLO,150106
LIMA,LIMA,CHACLACAYO,150107
LIMA,LIMA,CHORRILLOS,150108
LIMA,LIMA,CIENEGUILLA,150109
LIMA,LIMA,COMAS,150110
LIMA,LIMA,EL AGUSTINO,150111
LIMA,LIMA,INDEPENDENCIA,150112
LIMA,LIMA,JESUS MARIA,150113
LIMA,LIMA,LA MOLINA,150114
LIMA,LIMA,LA VICTORIA,150115
LIMA,LIMA,LIMA,150101
LIMA,LIMA,LINCE,150116
LIMA,LIMA,LOS OLIVOS,150117
LIMA,LIMA,LURIGANCHO,150118
LIMA,LIMA,LURIN,150119
LIMA,LIMA,MAGDALENA DEL MAR,150120
LIMA,LIMA,MIRAFLORES,150122
LIMA,LIMA,PACHACAMAC,150123
LIMA,LIMA,PUCUSANA,150124
LIMA,LIMA,PUEBLO LIBRE,150121
LIMA,LIMA,PUENTE PIEDRA,150125
LIMA,LIMA,PUNTA HERMOSA,150126
LIMA,LIMA,PUNTA NEGRA,150127
LIMA,LIMA,RIMAC,150128
LIMA,LIMA,SAN BARTOLO,150129
LIMA,LIMA,SAN BORJA,150130
LIMA,LIMA,SAN ISIDRO,150131
LIMA,LIMA,SAN JUAN DE LURIGANCHO,150132
LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133
LIMA,LIMA,SAN LUIS,150134
LIMA,LIMA,SAN MARTIN DE PORRES,150135
LIMA,LIMA,SAN MIGUEL,150136
LIMA,LIMA,SANTA ANITA,150137
LIMA,LIMA,SANTA MARIA DEL MAR,150138
LIMA,LIMA,SANTA ROSA,150139
LIMA,LIMA,SANTIAGO DE SURCO,150140
LIMA,LIMA,SURQUILLO,150141
LIMA,LIMA,VILLA EL SALVADOR,150142
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143
LORETO,ALTO AMAZONAS,BALSAPUERTO,160202
LORETO,ALTO AMAZONAS,JEBEROS,160205
LORETO,ALTO AMAZONAS,LAGUNAS,160206
LORETO,ALTO AMAZONAS,SANTA CRUZ,160210
LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,160211
LORETO,ALTO AMAZONAS,YURIMAGUAS,160201
LORETO,DATEM DEL MARA�ON,ANDOAS,160706
LORETO,DATEM DEL MARA�ON,BARRANCA,160701
LORETO,DATEM DEL MARA�ON,CAHUAPANAS,160702
LORETO,DATEM DEL MARA�ON,MANSERICHE,160703
LORETO,DATEM DEL MARA�ON,MORONA,160704
LORETO,DATEM DEL MARA�ON,PASTAZA,160705
LORETO,LORETO,NAUTA,160301
LORETO,LORETO,PARINARI,160302
LORETO,LORETO,TIGRE,160303
LORETO,LORETO,TROMPETEROS,160304
LORETO,LORETO,URARINAS,160305
LORETO,MARISCAL RAMON CASTILLA,PEBAS,160402
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,160401
LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,160404
LORETO,MARISCAL RAMON CASTILLA,YAVARI,160403
LORETO,MAYNAS,ALTO NANAY,160102
LORETO,MAYNAS,BELEN,160112
LORETO,MAYNAS,FERNANDO LORES,160103
LORETO,MAYNAS,INDIANA,160104
LORETO,MAYNAS,IQUITOS,160101
LORETO,MAYNAS,LAS AMAZONAS,160105
LORETO,MAYNAS,MAZAN,160106
LORETO,MAYNAS,NAPO,160107
LORETO,MAYNAS,PUNCHANA,160108
LORETO,MAYNAS,SAN JUAN BAUTISTA,160113
LORETO,MAYNAS,TORRES CAUSANA,160110
LORETO,PUTUMAYO,PUTUMAYO,160801
LORETO,PUTUMAYO,ROSA PANDURO,160802
LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,160803
LORETO,PUTUMAYO,YAGUAS,160804
LORETO,REQUENA,ALTO TAPICHE,160502
LORETO,REQUENA,CAPELO,160503
LORETO,REQUENA,EMILIO SAN MARTIN,160504
LORETO,REQUENA,JENARO HERRERA,160510
LORETO,REQUENA,MAQUIA,160505
LORETO,REQUENA,PUINAHUA,160506
LORETO,REQUENA,REQUENA,160501
LORETO,REQUENA,SAQUENA,160507
LORETO,REQUENA,SOPLIN,160508
LORETO,REQUENA,TAPICHE,160509
LORETO,REQUENA,YAQUERANA,160511
LORETO,UCAYALI,CONTAMANA,160601
LORETO,UCAYALI,INAHUAYA,160602
LORETO,UCAYALI,PADRE MARQUEZ,160603
LORETO,UCAYALI,PAMPA HERMOSA,160604
LORETO,UCAYALI,SARAYACU,160605
LORETO,UCAYALI,VARGAS GUERRA,160606
MADRE DE DIOS,MANU,FITZCARRALD,170202
MADRE DE DIOS,MANU,HUEPETUHE,170204
MADRE DE DIOS,MANU,MADRE DE DIOS,170203
MADRE DE DIOS,MANU,MANU,170201
MADRE DE DIOS,TAHUAMANU,IBERIA,170302
MADRE DE DIOS,TAHUAMANU,I�APARI,170301
MADRE DE DIOS,TAHUAMANU,TAHUAMANU,170303
MADRE DE DIOS,TAMBOPATA,INAMBARI,170102
MADRE DE DIOS,TAMBOPATA,LABERINTO,170104
MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,170103
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101
MOQUEGUA,MARISCAL NIETO,MOQUEGUA,180101
PASCO,OXAPAMPA,CHONTABAMBA,190302
PASCO,OXAPAMPA,CONSTITUCION,190308
PASCO,OXAPAMPA,OXAPAMPA,190301
PASCO,OXAPAMPA,PALCAZU,190304
PASCO,OXAPAMPA,POZUZO,190305
PASCO,OXAPAMPA,PUERTO BERMUDEZ,190306
PASCO,OXAPAMPA,VILLA RICA,190307
PIURA,AYABACA,AYABACA,200201
PIURA,AYABACA,FRIAS,200202
PIURA,AYABACA,JILILI,200203
PIURA,AYABACA,PACAIPAMPA,200206
PIURA,AYABACA,PAIMAS,200207
PIURA,AYABACA,SAPILLICA,200208
PIURA,AYABACA,SUYO,200210
PIURA,HUANCABAMBA,CANCHAQUE,200302
PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,200303
PIURA,HUANCABAMBA,HUANCABAMBA,200301
PIURA,HUANCABAMBA,HUARMACA,200304
PIURA,HUANCABAMBA,LALAQUIZ,200305
PIURA,HUANCABAMBA,SAN MIGUEL DE EL FAIQUE,200306
PIURA,HUANCABAMBA,SONDOR,200307
PIURA,HUANCABAMBA,SONDORILLO,200308
PIURA,MORROPON,BUENOS AIRES,200402
PIURA,MORROPON,CHALACO,200403
PIURA,MORROPON,CHULUCANAS,200401
PIURA,MORROPON,LA MATANZA,200404
PIURA,MORROPON,MORROPON,200405
PIURA,MORROPON,SALITRAL,200406
PIURA,MORROPON,SAN JUAN DE BIGOTE,200407
PIURA,MORROPON,SANTA CATALINA DE MOSSA,200408
PIURA,MORROPON,SANTO DOMINGO,200409
PIURA,MORROPON,YAMANGO,200410
PIURA,PAITA,AMOTAPE,200502
PIURA,PAITA,ARENAL,200503
PIURA,PAITA,COLAN,200504
PIURA,PAITA,LA HUACA,200505
PIURA,PAITA,PAITA,200501
PIURA,PAITA,TAMARINDO,200506
PIURA,PAITA,VICHAYAL,200507
PIURA,PIURA,CASTILLA,200104
PIURA,PIURA,CATACAOS,200105
PIURA,PIURA,CURA MORI,200107
PIURA,PIURA,EL TALLAN,200108
PIURA,PIURA,LA ARENA,200109
PIURA,PIURA,LA UNION,200110
PIURA,PIURA,LAS LOMAS,200111
PIURA,PIURA,PIURA,200101
PIURA,PIURA,TAMBO GRANDE,200114
PIURA,PIURA,VEINTISEIS DE OCTUBRE,200115
PIURA,SECHURA,BELLAVISTA DE LA UNION,200802
PIURA,SECHURA,BERNAL,200803
PIURA,SECHURA,CRISTO NOS VALGA,200804
PIURA,SECHURA,RINCONADA-LLICUAR,200806
PIURA,SECHURA,SECHURA,200801
PIURA,SECHURA,VICE,200805
PIURA,SULLANA,BELLAVISTA,200602
PIURA,SULLANA,IGNACIO ESCUDERO,200603
PIURA,SULLANA,LANCONES,200604
PIURA,SULLANA,MARCAVELICA,200605
PIURA,SULLANA,MIGUEL CHECA,200606
PIURA,SULLANA,QUERECOTILLO,200607
PIURA,SULLANA,SALITRAL,200608
